04/01/2021,09:00,11:59,12:58,18:00
05/01/2021,08:59,12:02,13:01,17:59
06/01/2021,09:00,11:57,13:02,18:01
07/01/2021,08:59,12:03,13:03,18:03
08/01/2021,08:57,11:57,13:01,17:57
11/01/2021,08:57,11:57,12:57,17:58
12/01/2021,08:58,12:01,12:58,18:01
13/01/2021,09:00,12:00,13:02,17:59
14/01/2021,08:58,11:59,13:01,17:57
15/01/2021,09:02,11:58,13:01,18:01
18/01/2021,09:00,11:59,13:02,17:57
19/01/2021,09:02,11:59,12:58,17:59
20/01/2021,08:57,12:01,13:00,17:59
21/01/2021,08:57,11:57,12:59,18:00
22/01/2021,08:57,11:58,12:57,17:58
